code,name,primary_category,priority,sub_category_tags,description,image,attribute_code
1,CHICKEN & DUMPLINGS SOUP,Chunky Style Soups,8,70 Organic,"A southern classic that is satisfying, delicious and comforting _ tender pieces of all-natural_, chicken with dumplings (thick noodles), peas and carrots in a rich, creamy soup.",https://www.dropbox.com/s/lor87utzq3ls9oz/01_Product_ChickDumpling_17oz.png?dl=1,NUT INGR PRD_TAGS
2,CHICKEN BONE BROTH,Broths and Stocks,11,Natural,Our Chicken Bone Broth is a delicious sipping broth to give you a nutritious boost to your day with a good source of protein. We added just a dash of sea salt to bring out its rich flavor. We love to sip it with a little ground pepper and some crushed garlic.,https://www.dropbox.com/s/953zm0h4brocqy0/02_Product_BoneBrthChckn_32oz.png?dl=1,NUT INGR PRD_TAGS
3,CREAMY BROCCOLI SOUP,Creamy Soups,7,Organic,"There's nothing better than garden-fresh organic broccoli paired with garlic and onions in a rich, velvety vegetable stock. It's a satisfying country-style soup with the authentic taste of homemade. Enjoy alone or mix with sour cream for a quick, garden-fresh vegetable dip.",https://www.dropbox.com/s/nwlk3edu3v75dng/03_Product_Broccoli_32oz.png?dl=1,NUT INGR PRD_TAGS
4,CREAMY BUTTERNUT SQUASH SOUP,Creamy Soups,3,Organic,Enjoy the earthy goodness of premium organic butternut squash harvested at the peak of freshness and then slow-simmered with a hint of cinnamon for the perfect balance of sweet and savory. It's a delicious twist on a trusted classic. Enjoy alone or serve over cheese ravioli for a quick entree.,https://www.dropbox.com/s/og63zqhx5o8hdp8/04_Product_BttrntSqsh_32oz.png?dl=1,NUT INGR PRD_TAGS
5,CREAMY CAULIFLOWER & POTATO SOUP,Creamy Soups,12,Natural,"This combination of farm-fresh cauliflower and organic potatoes slowly simmered in coconut cream is a delicious way to pack a nutritional punch while not sacrificing taste. For a crunchy twist, top with roasted cauliflower, shredded cheddar cheese & chives.",https://www.dropbox.com/s/qew43h6vwasmoqp/05_Product_CaliflwrPotato_32oz.png?dl=1,NUT INGR PRD_TAGS
6,CREAMY PORTOBELLO MUSHROOM SOUP,Creamy Soups,10,Natural,"Relish in the delicate flavor of premium Portobello mushrooms slowly simmered with a medley of onions, garlic, celery and potatoes in a rich and velvety broth. It's a classic starter with a decadent texture and a redefined flavor. For a quick entr_e, add sauteed mushrooms and pour over chicken cutlets.",https://www.dropbox.com/s/qj8f8ntsfb9azye/06_Product_PortMshrm_32oz.png?dl=1,NUT INGR PRD_TAGS
7,CREAMY POTATO LEEK SOUP,Creamy Soups,5,Organic,"Indulge in this home-style favorite updated for the modern palate. Featuring farm-fresh organic potatoes, sauteed leeks, and roasted garlic combined in a velvety broth that's delicately seasoned with premium herbs and spices. Delicious alone or use it to flavor-up your layered potato casserole by using as a substitute for cream.",https://www.dropbox.com/s/uzx23dchvbgclpt/07_Product_PotLeek_32oz.png?dl=1,NUT INGR PRD_TAGS
8,CREAMY PUMPKIN SOUP,Creamy Soups,11,Organic,"This rich, vibrant Fall classic is perfect in any season. Who doesn't love the natural sweetness of freshly harvested pumpkin, paired with a medley of organic vegetables and infused with a delicate blend of ginger and premium spices. Toss with cheese ravioli or tortellini for a creative starter or entree.",https://www.dropbox.com/s/sm667dk7r3x6013/08_Product_Pumpkin_32oz.png?dl=1,NUT INGR PRD_TAGS
9,CREAMY SWEET PEA SOUP,Creamy Soups,15,Organic,"Delight in the bright taste of freshly picked sweet peas, slowly simmered in a rich, aromatic garden vegetable stock and then delicately seasoned with premium organic herbs. It's a fresh and flavorful take on a classic comfort food. For a hearty mid-day meal, crumble in cooked sausage or bacon.",https://www.dropbox.com/s/qrwahcu0zixdhx4/09_Product_SweetPea_32oz.png?dl=1,NUT INGR PRD_TAGS
10,CREAMY SWEET POTATO SOUP,Creamy Soups,13,Organic,"Enjoy the earthy goodness of premium organic sweet potatoes, harvested at the peak of flavor, simmered with an array of freshly picked root vegetables, and finished with a touch of ginger. For a savory twist, sprinkle with crisp tortilla chips and Parmesan cheese.",https://www.dropbox.com/s/ydoqdl28rsefow0/10_Product_SweetPotatoCreamySoup_32oz.png?dl=1,NUT INGR PRD_TAGS
